title,popularity,collection,genres_encoded
Loose Screws,1.589406,Screwballs Collection,[3]
Hello Herman,1.469955,No Collection,[6]
To Hell and Back,1.715253,No Collection,"[0, 14, 6, 10, 18]"
Munich,9.668761,No Collection,"[6, 0, 10, 17]"
Alex in Wonderland,0.488919,No Collection,"[3, 6]"
To Joy,0.515892,No Collection,[6]
Bound by Flesh,0.790815,No Collection,[5]
Origin,0.106215,No Collection,"[0, 6, 17, 15]"
Off Beat,1.149831,No Collection,[6]
Baby Blood,0.252805,No Collection,"[3, 11]"
Jungle 2 Jungle,12.640569,No Collection,"[3, 7]"
Notte prima degli esami - Oggi,4.34552,No Collection,[]
Stand by Me Doraemon,6.493765,Doraemon Collection,"[8, 2, 7]"
The Atticus Institute,4.551561,No Collection,[11]
Blockade,0.480285,No Collection,"[5, 10]"
Mischief,7.356831,No Collection,"[3, 14]"
Questions for Crazy Horse,0.005882,No Collection,[]
"Continental, a Film Without Guns",0.125624,No Collection,"[6, 3]"
The Subject Was Roses,0.407508,No Collection,[6]
Blame It on the Bellboy,7.777791,No Collection,[3]
Batman vs Dracula,8.393194,No Collection,"[8, 2, 11, 0, 17, 15]"
Twin Falls Idaho,1.596052,No Collection,"[6, 14]"
Virgin Mountain,1.633149,No Collection,[6]
The 39 Steps,5.865697,No Collection,"[0, 17, 13]"
My Sassy Girl,6.318475,No Collection,"[3, 6, 14]"
Good Intentions,0.806576,No Collection,[3]
Please Murder Me,0.542403,No Collection,"[4, 6]"
My Louisiana Sky,0.052039,No Collection,"[6, 7]"
Dus Kahaniyaan,0.232919,No Collection,[6]
White Wedding,0.35292,No Collection,"[3, 9, 14]"
I Always Wanted to Be a Gangster,1.839285,No Collection,"[6, 3, 4]"
Island of Death,1.710088,No Collection,"[11, 17]"
Transformers Prime Beast Hunters: Predacons Rising,1.648427,No Collection,"[0, 2, 15]"
Flaming Star,1.62482,No Collection,"[0, 6, 14, 19]"
R.I.P.D.,9.369679,No Collection,"[8, 0, 3, 4]"
Super Demetrios,1.362725,No Collection,[]
Sundown,2.060918,No Collection,"[14, 3]"
Well Wishes,0.531661,No Collection,"[1, 3, 6]"
Catch That Kid,5.226389,No Collection,"[7, 0, 1]"
The Angriest Man in Brooklyn,9.911949,No Collection,"[6, 3]"
I Manegen med Glenn Killing: Live från Berns,0.002328,No Collection,[3]
The Thirteen Assassins,1.161105,No Collection,"[1, 0]"
Sometimes They Come Back... Again,2.637369,Sometimes They Come Back Collection,[11]
Take My Eyes,5.557675,No Collection,[6]
Hollywood Party,0.947216,No Collection,"[3, 12]"
"Happy, Happy",0.550861,No Collection,"[6, 3, 14]"
Santa Claus and the Magic Drum,0.331975,No Collection,"[3, 2, 7]"
Raintree County,2.607994,No Collection,"[6, 14]"
Mischief Night,0.824619,No Collection,[11]
The Pink Floyd and Syd Barrett Story,0.152314,No Collection,"[5, 12]"
Snow Buddies,5.71765,Disney Buddies Collection,[7]
Heart of the North,0.007722,No Collection,"[19, 1]"
Cado dalle nubi,6.40477,No Collection,[3]
Baby and Me,1.410154,No Collection,[]
The Cinema Snob Movie,0.045236,No Collection,[3]
Light Gradient,0.881727,No Collection,"[6, 13, 14]"
The Source Family,0.296608,No Collection,"[12, 5]"
Show Me,0.524827,No Collection,"[6, 17]"
Father of the Bride Part II,8.387519,Father of the Bride Collection,[3]
Cow Belles,3.760464,No Collection,"[16, 3, 7, 14]"
Come Live with Me,1.047901,No Collection,"[3, 14]"
THX 1138,8.152085,No Collection,"[6, 13, 15]"
Holiday,1.971482,No Collection,"[17, 0, 14]"
Pressure,5.176064,No Collection,"[6, 17]"
Algorithm,1.216647,No Collection,"[17, 4, 6]"
Aenigma,0.800846,No Collection,[11]
Asphalt Playground,0.776233,No Collection,[6]
Ohm Shanthi Oshaana,0.633359,No Collection,"[3, 14]"
This Is It,7.015456,No Collection,"[12, 5]"
Kill Me Later,0.563767,No Collection,"[6, 0, 3, 17, 4, 14]"
The Butterfly Room,6.569589,No Collection,"[11, 17]"
Modigliani of Montparnasse,0.767372,No Collection,"[14, 6]"
Special Correspondents,2.375541,No Collection,[3]
Shelter,7.72654,No Collection,"[0, 6, 14]"
Pressed,1.579853,No Collection,"[4, 17]"
Freeze Me,0.36883,No Collection,"[6, 9, 11, 17]"
Man of the Story,0.071578,No Collection,[6]
Miral,4.435032,No Collection,[6]
My Father's Glory,4.406499,"Pagnol, Childhood's Memories","[1, 6]"
Macadam Stories,3.041967,No Collection,"[6, 3]"
Awaken,0.837087,No Collection,"[6, 14, 15]"
Crossing the Bridge: The Sound of Istanbul,1.172386,No Collection,"[5, 12]"
Let's Be Cops,15.962793,No Collection,[3]
Somnus,0.54252,No Collection,"[17, 1, 15]"
Saint Seiya: Legend of Sanctuary,6.751603,Saint Seiya Collection,"[0, 2, 8]"
Battle for Terra,6.737142,No Collection,"[0, 1, 2, 15]"
May God Forgive Us,8.370964,No Collection,[17]
The Widow From Chicago,0.833388,No Collection,"[4, 6, 14]"
Manborg,2.274115,No Collection,"[11, 15]"
The Creation of the Humanoids,0.3624,No Collection,[15]
Stella,6.175627,No Collection,[6]
Total Recall,16.42635,No Collection,"[0, 15, 1, 17]"
"McFarland, USA",6.894606,No Collection,[6]
Fear City: A Family-Style Comedy,7.985398,No Collection,[3]
Malena,9.490512,No Collection,[6]
Murder with Pictures,0.201302,No Collection,"[4, 13]"
Norwegian Ninja,0.409606,No Collection,"[6, 0, 3, 17]"
If These Walls Could Talk,1.632083,If These Walls Could Talk Collection,"[16, 6]"
Batch '81,0.409704,No Collection,"[6, 17]"
The Gerber Syndrome: Il Contagio,0.332114,No Collection,[11]
Cowboys & Angels,1.188935,No Collection,"[3, 6, 9]"
Kaho Naa... Pyaar Hai,1.063064,No Collection,"[6, 14]"
Eklavya: The Royal Guard,0.319771,No Collection,"[0, 6, 17]"
Skinning,1.018477,No Collection,"[0, 4, 6]"
Woman in a Dressing Gown,0.78738,No Collection,"[14, 6]"
I Am Thor,0.306142,No Collection,[5]
Juha,0.149603,No Collection,[6]
Courted,3.139448,No Collection,"[3, 4, 6, 14]"
Ninja Scroll,7.634365,No Collection,"[0, 2, 8]"
Fist of Jesus,0.873612,No Collection,"[0, 3, 11]"
Dragon Seed,0.602598,No Collection,[6]
Apache Territory,0.484867,No Collection,"[0, 19]"
The Life of Vergie Winters,0.651315,No Collection,[6]
Sansho the Bailiff,5.104286,No Collection,[6]
The Best Movie,1.272069,Самый лучший фильм - Коллекция,[3]
Jaguar,0.218666,No Collection,[]
BloodRayne: The Third Reich,5.926797,BloodRayne Collection,"[0, 1, 8, 11]"
Grace of Monaco,6.773278,No Collection,"[14, 6]"
The St. Valentine's Day Massacre,1.764213,No Collection,"[6, 10, 4]"
Space Dogs,4.037707,Space Dogs,"[7, 2]"
The Princess & the Marine,1.193211,No Collection,"[6, 14]"
Never a Dull Moment,0.573075,No Collection,"[14, 3]"
The Botany of Desire,0.83081,No Collection,[5]
Perfect Strangers,0.045629,No Collection,"[6, 14]"
A Bullet for Joey,1.569815,No Collection,"[6, 17]"
The Reader,1.032773,No Collection,"[3, 6]"
Cleopatra's Palace: In Search of a Legend,0.001256,No Collection,[5]
Saint Tropez - Saint Tropez,1.114225,No Collection,[]
Gang of Four,0.098918,No Collection,"[1, 6, 9, 13]"
Our Blushing Brides,0.412683,No Collection,[6]
Shadows of Forgotten Ancestors,2.559625,No Collection,[6]
Three on a Meathook,0.04586,No Collection,[11]
Army,0.465912,No Collection,[]
Can Dialectics Break Bricks?,0.297024,No Collection,[]
The Legend of Mor'du,3.785848,No Collection,"[2, 7]"
Hotel,1.750965,No Collection,[6]
Deseo,1.526115,No Collection,[6]
The Maltese Falcon,5.782544,No Collection,"[13, 4, 17]"
Dawn of the Dead,19.24201,Living Dead Collection,[11]
Delirious,1.33724,No Collection,"[8, 3, 14]"
Mankatha,1.145752,No Collection,"[0, 17]"
Don Quixote,1.049371,No Collection,[6]
Swooni,0.00967,No Collection,[]
21-87,0.897979,No Collection,[5]
Cheap Smokes,1.054305,No Collection,"[14, 3, 9]"
Trinità & Bambino... e adesso tocca a noi,0.001665,No Collection,[]
The High Sun,1.129184,No Collection,[6]
Light Is Calling,0.476742,No Collection,[]
Retro Puppet Master,1.34643,Puppet Master Collection,[11]
The Slingshot,1.764582,No Collection,[6]
My Family and Other Animals,1.822718,No Collection,"[16, 3, 6, 7]"
Moneyball,15.785663,No Collection,[6]
Benigni,0.004707,No Collection,[]
Rugrats in Paris: The Movie,5.568359,Rugrats Collection,"[1, 2, 3, 7]"
Guys and Dolls,0.078703,No Collection,"[5, 14]"
Being Evel,1.197099,No Collection,"[10, 5]"
The Sin of Harold Diddlebock,0.557728,No Collection,[3]
"Myq Kaplan: Small, Dork and Handsome",0.114815,No Collection,[3]
The Adventures of Tintin,19.201504,No Collection,"[1, 2, 13]"
Lunch Box,0.350152,No Collection,"[14, 6]"
Women of the Night,0.530321,No Collection,"[14, 6, 17]"
Certain Fury,0.606516,No Collection,[]
RocketMan,5.345663,No Collection,"[3, 7, 15]"
Variety,0.180465,No Collection,"[6, 4]"
High School Musical 3: Senior Year,7.343504,High School Musical Collection,"[3, 6, 7, 12, 14]"
Love n' Dancing,1.678404,No Collection,"[14, 6]"
Killers Are Challenged,0.148554,No Collection,[1]
The Crazies,3.739226,No Collection,"[0, 11, 17]"
The Earthquake,1.258757,No Collection,[6]
Rumors of Wars,0.128762,No Collection,[17]
Delicacy,5.96903,No Collection,"[6, 3, 14]"
The Golden Age of Comedy,0.036643,No Collection,[3]
The Wedding Night,0.567427,No Collection,"[6, 14]"
Surprise,0.001252,No Collection,[]
One Hour with You,1.406699,No Collection,"[3, 12, 14]"
Night on Earth,8.291886,No Collection,"[3, 6]"
Take Out,0.48253,No Collection,"[6, 9]"
Dead Space: Downfall,8.474973,Dead Space Collection,"[2, 11, 15, 17]"
Orlando,3.800785,No Collection,"[14, 6, 8]"
Airspeed,0.506837,No Collection,"[1, 0]"
Princes and Princesses,1.141182,No Collection,"[8, 2, 6, 15, 14, 9, 7, 3]"
See No Evil 2,4.526854,See No Evil Collection,[11]
Killing Them Safely,0.814786,No Collection,[5]
The Prime Gig,1.112059,No Collection,"[6, 14]"
Aprile,0.575039,No Collection,[3]
The Shawshank Redemption,51.645403,No Collection,"[6, 4]"
Slasher House,0.258937,No Collection,[11]
The Desert Trail,0.784048,No Collection,"[0, 19]"
Good News,0.793978,No Collection,"[3, 12, 14]"
Heavy Traffic,0.820911,No Collection,"[2, 3, 6]"
Passengers,20.303632,No Collection,"[1, 6, 14, 15]"
Serving Life,0.255898,No Collection,"[16, 5]"
VeggieTales: The Wonderful Wizard of Ha's,0.056535,No Collection,"[1, 7]"
Let Me Make You a Martyr,2.224423,No Collection,"[0, 13, 6, 4, 17, 8]"
Give Us the Moon,0.512585,No Collection,[3]
Siegfried,0.986909,No Collection,[3]
Beloved Berlin Wall,0.828537,No Collection,"[6, 3]"
Louis Theroux's African Hunting Holiday,1.15378,No Collection,[]
Koko: A Talking Gorilla,0.435271,No Collection,[5]
Z Channel: A Magnificent Obsession,1.422413,No Collection,"[10, 5]"
Kajraare,0.024825,No Collection,"[14, 6, 4]"
The Cutting Edge: Going for the Gold,6.865148,The Cutting Edge Collection,"[3, 6, 14]"
Casino Jack and the United States of Money,0.616048,No Collection,[5]
Beyond Valkyrie: Dawn of the Fourth Reich,3.401682,No Collection,"[0, 18, 10]"
Words and Music,1.023648,No Collection,"[6, 12]"
Trophy Kids,0.54238,No Collection,[5]
Gone Fishin',2.289647,No Collection,"[3, 7]"
Symphony No. 42,0.365646,No Collection,"[13, 2]"
Spider-Man,29.413341,Spider-Man Collection,"[8, 0]"
The Losers,12.798367,No Collection,"[0, 1, 4, 13, 17]"
Holy Flame of the  Martial World,0.009961,No Collection,"[8, 0]"
The Little Mermaid: Ariel's Beginning,0.415606,The Little Mermaid Collection,"[7, 2]"
Helter Skelter,3.530808,No Collection,"[6, 8, 11]"
What Became of Us,0.00589,No Collection,"[4, 6, 17]"
The Astronaut's Wife,14.705865,No Collection,"[6, 15, 17]"
Tokyo Family,1.48277,No Collection,"[6, 7]"
Uninvited Guest,0.269126,No Collection,"[6, 17]"
Lovely Loneliness,0.219318,No Collection,[]
The Divine Lady,0.124298,No Collection,"[6, 10, 14, 18]"
Poultrygeist: Night of the Chicken Dead,5.072909,No Collection,"[11, 3]"
Prairie Love,0.042355,No Collection,"[6, 3]"
The Comic,0.140017,No Collection,"[3, 6]"
Cheaper by the Dozen,7.364297,Cheaper by the Dozen Collection,[3]
Of Men and War,0.088236,No Collection,[5]
The Lost Moment,0.470053,No Collection,"[6, 17, 14]"
Dr. Jack,0.432437,No Collection,[3]
Hercules: Zero to Hero,0.700633,No Collection,[]
Vikramarkudu,0.345523,No Collection,"[3, 0, 6, 9]"
Summertime,0.358817,No Collection,[3]
A Bittersweet Life,10.237072,No Collection,"[0, 6, 4]"
Doctor Aybolit,0.731334,Сказки Чуковского,"[2, 3, 1]"
The Revenge of the Living Dead Girls,1.637235,No Collection,"[11, 9]"
White Fang,12.318052,White Fang Collection,"[0, 1, 6, 7]"
The Nativity Story,4.68645,No Collection,"[6, 10]"
Where the Buffalo Roam,3.216608,No Collection,"[3, 6]"
TEKKEN: Blood Vengeance,5.81731,Tekken Collection,"[0, 2]"
Cannibal Ferox,2.767334,No Collection,"[1, 11]"
Confessions,5.882762,No Collection,"[6, 17, 13]"
The Third Part of the Night,1.030329,No Collection,"[6, 11, 18]"
The Rising of the Moon,0.365754,No Collection,"[3, 6]"
John Henry,1.563748,No Collection,"[2, 6, 7]"
Knights of Bloodsteel,2.327569,No Collection,"[1, 8, 15]"
World's Greatest Dad,5.431657,No Collection,"[3, 14]"
The Mummy Resurrected,2.287275,No Collection,[11]
The Cincinnati Kid,3.670599,No Collection,[6]
The Boys Club,0.25047,No Collection,[6]
Malarek,0.421018,No Collection,[0]
Best Seller,2.173823,No Collection,"[0, 4, 6, 17]"
Not So Dumb,0.630824,No Collection,[3]
Jawbreaker,7.434797,No Collection,[3]
Blue Gold: World Water Wars,0.518603,No Collection,[5]
Batman: Bad Blood,7.714405,Son of Batman Collection,"[0, 2, 15]"
Allan Quatermain and the Temple of Skulls,0.75143,No Collection,"[14, 1, 0]"
Valentin,1.756683,No Collection,"[6, 3, 14, 9]"
Penny Dreadful,2.575856,No Collection,"[11, 17]"
Paradise Canyon,1.334437,No Collection,"[0, 19]"
Sharpshooter,9.401708,No Collection,"[16, 0, 17]"
"LSD: Love, Sex aur Dhokha",0.367068,No Collection,[6]
Circle of Iron,1.022584,No Collection,[8]
Self/less,25.301568,No Collection,"[15, 13, 17]"
The Bells of St. Mary's,2.614074,No Collection,"[6, 7]"
Liberty Kid,0.010291,No Collection,[]
La Sierra,0.298019,No Collection,[]
The Man Without a Face,0.917711,No Collection,"[4, 6, 11]"
Smokin' Aces,7.906434,Smokin' Aces Collection,"[0, 3, 4, 17]"
The Son of Bigfoot,2.984512,No Collection,"[2, 3]"
Road to Kabul,0.049862,No Collection,"[3, 0]"
The Echo,5.003455,No Collection,"[11, 17, 6, 13]"
Aftermath,10.150041,No Collection,"[6, 17]"
The Langoliers,12.215925,No Collection,"[6, 11, 15, 13, 17]"
A Foreign Affair,0.85986,No Collection,"[3, 6, 14]"
Marine Battleground,0.301689,No Collection,[]
Frozen Days,0.011092,No Collection,"[6, 13, 17]"
Flower Drum Song,0.50835,No Collection,"[3, 12]"
Cat-Women of the Moon,1.337813,No Collection,[15]
A Connecticut Yankee in King Arthur's Court,0.764068,No Collection,"[1, 3, 7]"
I Walked with a Zombie,3.511113,No Collection,"[6, 11]"
Home from Home – Chronicle of a Vision,1.824098,No Collection,"[6, 10]"
Son of Lassie,0.631099,Lassie (Kinofilme),"[0, 6, 7, 1]"
The Steel Trap,0.987394,No Collection,[17]
Never Say... Never!,0.648189,No Collection,[3]
Unabomber: The True Story,0.41938,No Collection,"[16, 4, 6, 10]"
Silver Medalist,0.492563,No Collection,"[0, 1, 3, 6, 9]"
Alex of Venice,2.278837,No Collection,[6]
The Terror,7.958403,No Collection,"[11, 17]"
Four More Years,0.874978,No Collection,"[3, 6]"
Lost in Munich,0.504189,No Collection,"[3, 6]"
Night at the Museum,16.661966,Night at the Museum Collection,"[0, 1, 3, 7, 8]"
Courage,0.499442,No Collection,"[6, 7]"
Racing Dreams,0.890254,No Collection,[5]
The 10 Year Plan,2.957885,No Collection,"[14, 3]"
A Cinderella Christmas,2.361363,No Collection,"[14, 3]"
So Big!,0.108141,No Collection,"[6, 14]"
The Stone Council,2.006506,No Collection,"[1, 4, 6, 8, 13, 17]"
Nothing Left Unsaid: Gloria Vanderbilt & Anderson Cooper,0.216848,No Collection,[5]
I Am Jane Doe,1.833216,No Collection,"[4, 5]"
Family Guy Presents: Blue Harvest,5.658089,Family Guy Presents Collection,[2]
Eddie,3.09233,No Collection,"[0, 3]"
The Business of Strangers,2.239112,No Collection,"[6, 17]"
¡A mí la legión!,0.103503,No Collection,[]
House Hunting,1.806133,No Collection,"[13, 17]"
Shadowing the Third Man,0.017007,No Collection,[5]
Black Sunday,4.683413,No Collection,[11]
Wingman Inc.,0.54143,No Collection,"[14, 3]"
Viceroy's House,16.153534,No Collection,"[6, 10]"
The Maiden Heist,6.776165,No Collection,"[3, 4]"
Tarda estate,0.005935,No Collection,[6]
Africa: The Serengeti,1.649097,No Collection,[5]
Pauly Shore Is Dead,2.091305,No Collection,[3]
Boys Town,1.437573,Father Flanagan Collection,[6]
Special Mission Lady Chaplin,0.520407,No Collection,"[4, 1, 0]"
Limited Partnership,0.01552,No Collection,[5]
Guys and Dolls,4.860664,No Collection,"[3, 12, 14]"
God of War,4.85639,No Collection,"[0, 10]"
Alois Nebel,1.298504,No Collection,"[2, 6]"
Capote,6.01272,No Collection,"[4, 6]"
New York in the 50's,0.001262,No Collection,[]
Venus In Furs,0.585592,No Collection,"[6, 14]"
Gingerdead Man vs. Evil Bong,1.136578,Evil Bong Collection,"[11, 3]"
Midnight Cowboy,10.579988,No Collection,[6]
Brian's Song,2.624202,No Collection,"[6, 16]"
"You Lie, You Die",0.884455,No Collection,[17]
Record of a Tenement Gentleman,0.719233,No Collection,"[3, 6]"
Personal Effects,7.872865,No Collection,[6]
Joint Security Area,10.187128,No Collection,"[18, 6, 17]"
Convict 13,0.817589,No Collection,[3]
Final Destination,14.961416,Final Destination Collection,[11]
Jinn,4.907797,No Collection,[17]
Four Shades of Brown,1.345651,No Collection,"[3, 6]"
Company Business,1.228145,No Collection,"[0, 17]"
Annie Laurie,0.008201,No Collection,"[6, 14]"
"Boeing, Boeing",1.476618,No Collection,"[3, 6]"
Mindscape,10.860471,No Collection,"[17, 6]"
Norm MacDonald: Me Doing Standup,0.298558,No Collection,[3]
Picture Bride,1.296912,No Collection,"[6, 10]"
The Old Fashioned Way,0.367549,No Collection,[3]
Delusion,0.156722,No Collection,[4]
Some Velvet Morning,3.118419,No Collection,[6]
Life Itself,7.615552,No Collection,[5]
Sodoma's Ghost,0.024675,No Collection,"[9, 11]"
The Sunchaser,2.35809,No Collection,[6]
Cut Loose,0.040127,No Collection,[]
I Am Legend,11.379355,No Collection,"[6, 11, 0, 17, 15]"
Working Girl,8.318954,No Collection,"[3, 6, 14]"
Crimes of the Future,1.02287,No Collection,"[3, 15]"
Sword of Desperation,0.956893,No Collection,"[0, 17, 14]"
Laurence Anyways,8.59498,No Collection,"[6, 14]"
252: Signal of Life,0.669505,No Collection,"[0, 1, 6]"
Somewhere Only We Know,1.330643,No Collection,"[6, 14]"
Beat,0.159576,No Collection,"[0, 6]"
Zatôichi at Large,0.145289,Zatôichi: The Blind Swordsman,"[1, 0, 6]"
Deewaar: Let's Bring Our Heroes Home,0.003405,No Collection,"[6, 0, 9]"
Redistributors,0.811783,No Collection,[17]
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,2.894481,No Collection,"[2, 3, 7]"
Altiplano,0.166009,No Collection,[6]
Ricky Gervais: Out of England - The Stand-Up Special,1.045271,No Collection,[3]
Greetings from Tim Buckley,0.0658,No Collection,[6]
Bran Nue Dae,0.265854,No Collection,"[3, 6, 9, 14]"
The Sender,0.000578,No Collection,"[11, 17]"
Why Not?,0.41307,No Collection,[6]
Big Fish & Begonia,2.238595,No Collection,"[14, 2, 1, 8]"
Newsmakers,0.233752,No Collection,"[0, 17, 4, 6]"
It Started with Eve,1.865744,No Collection,"[3, 14]"
Gangaajal,0.628507,No Collection,"[6, 9, 4]"
Things We Do for Love,0.178791,No Collection,[]
Cocaine Unwrapped,0.123077,No Collection,[5]
Bluebeard,0.126284,No Collection,[]
Two Arabian Knights,0.38981,No Collection,"[1, 3, 14]"
The Rebel,1.775833,No Collection,"[0, 6, 9]"
Sandow,0.237073,No Collection,[]
Let's Kill Ward's Wife,10.224446,No Collection,[3]
Mythica: The Godslayer,3.856398,Mythica Collection,"[1, 8, 0]"
I Like It Like That,0.289295,No Collection,"[3, 6, 14]"
