title,popularity,collection,genres_encoded
Flirting with Disaster,5.579088,,"[3, 14]"
The Neverending Story III: Escape from Fantasia,6.252377,The Neverending Story Collection,[8]
The Silences of the Palace,0.406754,,[6]
Jupiter's Wife,0.001178,,[]
Pie in the Sky,0.699066,,"[3, 14]"
Angela,2.197439,,"[3, 6]"
Frankie Starlight,0.637554,,"[6, 14, 18]"
Jade,11.418917,,"[0, 17, 13, 14]"
Nueba Yol,0.291021,,"[3, 6, 14]"
Sonic Outlaws,0.001838,,"[12, 5]"
Down Periscope,5.184977,,[3]
From the Journals of Jean Seberg,0.276401,,[5]
Man of the Year,0.540436,,[3]
The Neon Bible,0.370342,,[6]
Target,0.001205,,[]
Up Close & Personal,3.402749,,"[6, 14]"
The Birdcage,6.49968,,[3]
Virgin Mary,0.918504,,[6]
The Brothers McMullen,2.039196,,"[3, 6, 14]"
Bad Boys,9.262184,Bad Boys Collection,"[0, 3, 4, 17]"
The Amazing Panda Adventure,2.375865,,"[0, 1, 6, 7]"
The Basketball Diaries,7.415144,,"[6, 4]"
An Awfully Big Adventure,0.922958,,"[14, 6, 3]"
Amateur,1.759012,,"[4, 3, 6, 17]"
Apollo 13,18.761467,,[6]
Rob Roy,10.193549,,[1]
The Addiction,3.137285,,"[6, 11]"
Batman Forever,13.321354,Batman Collection,"[0, 4, 8]"
Belle de Jour,10.142662,,"[6, 14]"
Beyond Rangoon,2.04189,,"[6, 17]"
Blue in the Face,11.528147,Brooklyn Cigar Store Collection,[3]
Canadian Bacon,5.391556,,"[0, 3]"
Casper,12.812539,Casper Collection,"[8, 3, 7]"
Clockers,4.558992,,"[13, 4, 6]"
Congo,7.260574,,"[0, 1, 6, 13, 15, 17]"
Crimson Tide,8.657365,,"[0, 17, 6]"
Crumb,3.620388,,[5]
Desperado,6.950458,Mexico Trilogy,"[17, 0, 4]"
Devil in a Blue Dress,4.646132,,"[6, 13, 17]"
Die Hard: With a Vengeance,15.138855,Die Hard Collection,"[0, 17]"
The Doom Generation,7.120806,Teenage Apocalypse Trilogy,"[0, 3, 4, 6]"
Feast of July,0.523575,,"[6, 4]"
First Knight,15.178338,,"[0, 1, 6, 14]"
Free Willy 2 - The Adventure Home,7.575098,Free Willy Collection,[1]
Hackers,14.810519,,"[0, 4, 17, 6]"
Jeffrey,3.196456,,"[3, 6, 14]"
Johnny Mnemonic,11.715868,,"[1, 0, 6, 15, 17]"
Judge Dredd,8.184815,,[15]
Jury Duty,3.676921,,"[3, 6]"
Kids,4.877872,,"[6, 4]"
Living in Oblivion,10.058329,,"[6, 3]"
Lord of Illusions,4.102409,,"[13, 11, 17]"
Love & Human Remains,0.354014,,"[3, 6]"
Mad Love,2.624771,,"[6, 7, 14]"
Mallrats,8.25547,,"[14, 3]"
Mighty Morphin Power Rangers: The Movie,7.024227,Power Rangers Collection,"[0, 1, 15, 7, 8]"
Moonlight and Valentino,1.01115,,"[3, 6, 14]"
Mute Witness,2.466066,,"[17, 9]"
Nadja,7.720056,,"[11, 17]"
The Net,13.304342,Síť (kolekce),"[4, 6, 13, 17, 0]"
Nine Months,8.482834,,[3]
Party Girl,1.165039,,[3]
The Prophecy,10.187623,The Prophecy Collection,"[8, 11, 17]"
Reckless,0.119713,,"[8, 3, 6]"
Safe,8.180047,,[6]
The Scarlet Letter,6.752119,,"[6, 10, 14]"
The Show,0.159596,,[5]
Showgirls,17.502375,Showgirls Collection,[6]
Smoke,5.552946,Brooklyn Cigar Store Collection,"[3, 6]"
Something to Talk About,3.743212,,[3]
Species,13.492845,Species Collection,"[15, 11, 0]"
The Stars Fell on Henrietta,0.913522,,[6]
Strange Days,11.223055,,"[4, 6, 15, 17]"
The Umbrellas of Cherbourg,8.133881,,"[6, 14]"
The Tie That Binds,1.820419,,[17]
Three Wishes,11.002046,,"[6, 8]"
Total Eclipse,4.546552,,"[6, 14]"
"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446,,[3]
Under Siege 2: Dark Territory,7.490247,Under Siege Collection,"[0, 17]"
Unstrung Heroes,2.881689,,"[3, 6, 7]"
Unzipped,0.786023,,[5]
A Walk in the Clouds,9.715639,,"[6, 14]"
Waterworld,16.885184,,"[1, 0]"
White Man's Burden,1.834099,,[6]
Wild Bill,8.922139,,"[0, 19]"
The Browning Version,3.727644,,[6]
Bushwhacked,3.287036,,"[1, 0, 3, 4, 7]"
Burnt by the Sun,2.486073,Burnt by the Sun Trilogy,[6]
Before the Rain,3.525649,,"[6, 18]"
Before Sunrise,11.304979,Before... Collection,"[6, 14]"
Billy Madison,6.638116,,[3]
The Babysitter,2.761837,,"[6, 17]"
Boys on the Side,3.030309,,"[3, 6]"
The Cure,2.686342,,"[6, 7]"
Castle Freak,2.26977,,"[17, 6, 11, 13]"
Circle of Friends,2.605521,,"[6, 7, 14]"
Clerks,10.513367,Clerks Collection,[3]
Don Juan DeMarco,7.438934,,"[14, 6, 3]"
Disclosure,11.812244,,"[6, 17, 4, 13, 14]"
Dream Man,0.155859,,[17]
Drop Zone,9.579155,,"[0, 1, 17]"
Destiny Turns on the Radio,0.710671,,"[4, 3, 8]"
Death and the Maiden,5.484156,,"[6, 17, 13]"
Dolores Claiborne,5.8025,,"[4, 6, 13]"
Dumb and Dumber,9.844558,Dumb and Dumber Collection,[3]
Eat Drink Man Woman,4.860016,,"[3, 6, 14]"
Exotica,5.378467,,"[6, 13]"
Exit to Eden,4.322726,,"[17, 3, 4, 14]"
Ed Wood,11.720358,,"[3, 6, 10]"
French Kiss,9.146544,,"[3, 14]"
Forget Paris,16.236745,,"[3, 6, 14]"
Far from Home: The Adventures of Yellow Dog,2.657337,,"[0, 1, 6, 7]"
A Goofy Movie,10.177977,A Goofy Movie Collection,"[14, 2, 7, 3, 1]"
Hideaway,8.182165,,"[6, 17]"
Fluke,4.953936,,"[6, 7, 8]"
Farinelli,8.935058,,"[10, 6]"
Gordy,0.398924,,"[6, 7, 8]"
Gumby: The Movie,0.090452,,"[8, 2, 15, 7]"
The Glass Shield,1.012197,,"[6, 0, 17, 4]"
Hoop Dreams,9.47666,,[5]
Heavenly Creatures,9.438042,,"[6, 8]"
Houseguest,2.688562,,"[3, 7]"
Immortal Beloved,7.983666,,"[6, 12, 14]"
Heavyweights,9.546707,,"[3, 7, 6]"
The Hunted,2.756986,,"[0, 17]"
I.Q.,5.146352,,"[3, 6, 14]"
Interview with the Vampire,11.970205,The Vampire Chronicles,"[11, 14]"
Jefferson in Paris,1.596058,,"[6, 14]"
The Jerky Boys,0.748846,,"[3, 4]"
Junior,6.710215,,"[3, 7, 14]"
Just Cause,9.195256,,"[0, 6, 13, 17]"
A Kid in King Arthur's Court,5.874511,,"[1, 8, 3, 15, 7]"
Kiss of Death,7.797512,,"[0, 4, 6, 17]"
Star Wars,42.149697,Star Wars Collection,"[1, 0, 15]"
Little Women,9.774994,,"[6, 14]"
A Little Princess,7.731725,,"[6, 7, 8]"
Ladybird Ladybird,0.84508,,[6]
L'Enfer,1.948315,,"[4, 6]"
Like Water for Chocolate,4.126083,,"[6, 14]"
Legends of the Fall,12.199047,,"[1, 6, 14, 18]"
Major Payne,9.253362,,"[1, 3, 7]"
Little Odessa,1.861292,,"[0, 6]"
Mi Vida Loca,1.788829,,"[4, 6]"
Love Affair,3.290192,,"[6, 14]"
Losing Isaiah,7.698526,,[6]
The Madness of King George,4.81307,,"[3, 6, 10]"
Mary Shelley's Frankenstein,14.287753,,"[6, 11, 15, 14]"
Man of the House,2.558118,,"[0, 3, 7]"
Mixed Nuts,2.899608,,"[3, 6, 14]"
Milk Money,3.770115,,"[3, 14]"
Miracle on 34th Street,5.831622,,"[8, 6, 7]"
Miami Rhapsody,1.137266,,"[3, 14]"
My Family,3.121288,,"[3, 6]"
Murder in the First,9.518564,,"[4, 6]"
Nobody's Fool,2.891269,,"[6, 3]"
Nell,5.930957,,"[6, 17]"
New Jersey Drive,0.629955,,"[4, 6]"
New York Cop,0.004537,,"[0, 17, 4, 6]"
Beyond Bedlam,0.426952,,[11]
Nemesis 2 - Nebula,1.466491,Nemesis Collection,"[15, 0, 17]"
Nina Takes a Lover,0.769522,,"[6, 14]"
Natural Born Killers,11.226856,,"[4, 17, 6]"
Only You,4.936761,,"[3, 6, 14]"
Once Were Warriors,4.025276,Once were Warriors Collection,[6]
Poison Ivy II: Lily,6.448039,Poison Ivy Collection,"[6, 14, 17]"
Outbreak,13.676444,,"[0, 6, 15, 17]"
Leon: The Professional,20.477329,,"[17, 4, 6]"
The Perez Family,1.433544,,"[3, 6, 14]"
A Pyromaniac's Love Story,0.463307,,"[3, 6, 14]"
Pulp Fiction,140.950236,,"[17, 4]"
Panther,7.160149,,[6]
Pushing Hands,1.638622,,"[3, 6]"
Priest,1.881932,,"[6, 14]"
Quiz Show,7.772505,,"[10, 6]"
Picture Bride,1.296912,,"[6, 10]"
Queen Margot,4.405405,,"[6, 10]"
The Quick and the Dead,7.54701,,"[0, 19]"
Roommates,3.395867,,"[6, 3]"
Prêt-à-Porter,6.259433,,"[6, 3]"
Three Colors: Red,7.832755,Three Colors Collection,"[6, 13, 14]"
Three Colors: Blue,8.843517,Three Colors Collection,"[6, 12, 13]"
Three Colors: White,6.5898,Three Colors Collection,"[3, 6, 13]"
"Red Firecracker, Green Firecracker",0.078257,,[6]
Rent-a-Kid,1.155255,,"[3, 7, 16]"
Relative Fear,0.499601,,"[11, 6]"
Stuart Saves His Family,1.390885,,"[3, 6]"
The Swan Princess,8.910462,Swan Princess Series,[2]
The Secret of Roan Inish,1.750481,,"[6, 7, 8]"
The Specialist,10.388183,,"[0, 17]"
Stargate,13.328924,,"[0, 1, 15]"
The Santa Clause,9.665424,The Santa Clause Collection,"[8, 6, 3, 7]"
The Shawshank Redemption,51.645403,,"[6, 4]"
Shallow Grave,8.223026,,"[4, 17]"
Suture,1.298224,,"[6, 17]"
Strawberry and Chocolate,1.777197,,"[3, 6]"
Swimming with Sharks,5.869261,,"[4, 3]"
The Sum of Us,1.407427,,"[3, 6, 14]"
Senior Trip,5.05806,,[3]
To Live,5.260627,,"[6, 14, 18]"
Tank Girl,7.602087,,"[0, 3, 8, 15]"
Tales from the Crypt: Demon Knight,9.455342,Tales from the Crypt Collection,"[11, 3, 17]"
Star Trek: Generations,8.105708,Star Trek: The Next Generation Collection,"[15, 0, 1, 17]"
Tales from the Hood,2.86007,,"[4, 11, 17]"
Tom & Viv,0.704204,,"[6, 14]"
Village of the Damned,6.529879,,"[17, 11, 15]"
Tommy Boy,11.971318,,[3]
Vanya on 42nd Street,7.039846,,"[6, 14]"
The Underneath,2.059771,,"[17, 4]"
The Walking Dead,0.620873,,"[6, 18]"
What's Eating Gilbert Grape,10.3919,,"[14, 6]"
Virtuosity,5.188399,,"[0, 4, 15, 17]"
While You Were Sleeping,15.783615,,"[3, 6, 14]"
The War,3.908596,,[6]
Double Happiness,0.372239,,"[3, 14]"
Muriel's Wedding,5.254847,,"[6, 3, 14]"
The Baby-Sitters Club,2.15805,,"[3, 6, 7]"
Ace Ventura: Pet Detective,11.247957,Ace Ventura Collection,"[3, 13]"
"The Adventures of Priscilla, Queen of the Desert",8.328596,,"[6, 3]"
Backbeat,2.487951,,"[6, 12]"
Bitter Moon,11.298195,,"[17, 6, 14]"
Bullets Over Broadway,5.72288,,"[0, 3, 17]"
Clear and Present Danger,7.513245,The Jack Ryan Collection,"[0, 6, 17]"
The Client,15.263829,,"[6, 17, 4, 13]"
"Corrina, Corrina",6.924689,,"[3, 6, 7, 14]"
Crooklyn,2.533022,,"[3, 6]"
The Crow,15.799336,The Crow Collection,"[8, 0, 17]"
Cobb,2.583363,,[6]
The Flintstones,15.019586,The Flintstones (Live-Action) Collection,"[8, 3, 7]"
Forrest Gump,48.307194,,"[3, 6, 14]"
Four Weddings and a Funeral,8.990345,,"[3, 6, 14]"
Higher Learning,7.817811,,"[14, 6, 4]"
I Like It Like That,0.289295,,"[3, 6, 14]"
I Love Trouble,3.570874,,"[0, 3, 14]"
It Could Happen to You,11.272073,,"[3, 6, 14]"
The Jungle Book,10.714235,,"[1, 6, 7]"
"The Wonderful, Horrible Life of Leni Riefenstahl",0.568884,,"[5, 9]"
The Lion King,21.605761,The Lion King Collection,"[7, 2, 6]"
Little Buddha,5.681522,,"[6, 10]"
New Nightmare,9.860522,A Nightmare on Elm Street Collection,"[11, 17, 13, 8]"
The Mask,14.13488,The Mask Collection,"[14, 3, 4, 8]"
Maverick,15.050326,,"[0, 1, 3, 6, 19]"
Mrs. Parker and the Vicious Circle,4.739054,,[6]
The Naked Gun 33⅓: The Final Insult,10.587232,Naked Gun Collection,"[3, 4]"
The Paper,4.006063,,"[3, 6]"
Reality Bites,6.514592,,[6]
Red Rock West,5.137903,,"[4, 6, 17]"
Ri¢hie Ri¢h,6.595255,Richie Rich Collection,"[3, 7]"
Safe Passage,4.931565,,[6]
The River Wild,10.511241,,"[0, 1, 4, 17]"
Speed,10.859292,Speed Collection,"[0, 1, 4]"
Speechless,2.334226,,"[3, 14]"
Timecop,8.907074,Timecop Collection,"[17, 15, 0, 4]"
True Lies,11.396099,,"[0, 17]"
When a Man Loves a Woman,4.322544,,"[6, 14]"
Wolf,14.063845,,[8]
Wyatt Earp,9.277147,,"[6, 0, 19]"
Bad Company,0.912415,,"[0, 4, 14, 17]"
A Man of No Importance,0.406113,,"[3, 6]"
S.F.W.,2.504529,,"[3, 6]"
A Low Down Dirty Shame,3.021526,,"[0, 3, 4]"
"Boys Life: Three Stories of Love, Lust, and Liberation",0.054148,,[6]
Colonel Chabert,0.934312,,[6]
"Faster, Pussycat! Kill! Kill!",4.220541,,"[0, 4]"
Jason's Lyric,0.912909,,"[4, 6, 14]"
The Secret Adventures of Tom Thumb,0.381704,,"[2, 15]"
Street Fighter,13.58449,Street Fighter,"[0, 1, 17]"
Coldblooded,2.342756,,"[0, 3]"
Desert Winds,0.251223,,[]
Fall Time,1.108494,,"[0, 1, 4, 6, 17]"
The Fear,0.268043,Fear Collection,"[11, 17]"
Frank and Ollie,0.142357,,[5]
Girl in the Cadillac,0.405392,,"[14, 1, 4, 6]"
Homage,0.014925,,"[17, 6]"
Mirage,0.302957,,"[0, 17]"
Open Season,0.012456,,[3]
Dos Crímenes,0.233376,,[]
Brother Minister: The Assassination of Malcolm X,0.0368,,[5]
Highlander: The Final Dimension,6.866634,Highlander Collection,"[0, 8, 15]"
Federal Hill,0.100685,,[]
In the Mouth of Madness,8.497643,,"[11, 13, 17]"
8 Seconds,1.888534,,"[6, 14]"
Above the Rim,4.38154,,"[4, 6]"
Addams Family Values,17.555909,Addams Family Collection,"[3, 7, 8]"
Martin Lawrence: You So Crazy,0.394194,,[3]
The Age of Innocence,8.013617,,"[6, 14]"
Airheads,7.09232,,"[3, 4, 12]"
The Air Up There,1.896273,,"[3, 7]"
Another Stakeout,12.967239,Stakeout Collection,"[0, 3]"
Bad Girls,14.644772,,"[0, 1, 3, 6, 19]"
Barcelona,1.632711,,"[3, 6, 14]"
Being Human,2.783872,,"[6, 3, 8]"
The Beverly Hillbillies,5.673735,,[3]
Beverly Hills Cop III,11.787784,Beverly Hills Cop Collection,"[0, 3, 4]"
Black Beauty,8.398845,,"[0, 1, 6, 7]"
Blink,3.00282,,"[13, 4, 6, 17]"
Blown Away,13.155071,,"[6, 0, 17]"
Blue Chips,6.131056,,[6]
Blue Sky,4.993829,,"[6, 14]"
Body Snatchers,6.559693,,"[11, 15, 17]"
Boxing Helena,4.304224,,"[6, 14]"
A Bronx Tale,6.115628,,"[6, 4]"
Cabin Boy,1.679042,,[3]
Calendar Girl,1.316741,,"[6, 3]"
Carlito's Way,8.698509,,"[0, 4, 6, 17]"
City Slickers II: The Legend of Curly's Gold,8.605703,City Slickers Collection,"[0, 3, 6, 19]"
Clean Slate,2.724621,,"[3, 17, 13]"
Cliffhanger,9.830853,,"[0, 1, 17]"
Coneheads,10.722729,,"[3, 15, 7]"
Color of Night,14.228963,,"[6, 13, 14, 17]"
Cops & Robbersons,7.042878,,"[0, 3, 7]"
The Cowboy Way,4.286279,,"[19, 0, 3]"
Dangerous Game,2.70097,,[6]
Dave,13.696394,,[3]
Dazed and Confused,6.8652,,"[3, 6]"
Demolition Man,11.626116,,"[4, 0, 15]"
The Endless Summer 2,0.408159,The Endless Summer Collection,[5]
Even Cowgirls Get the Blues,2.970724,,"[19, 6, 3, 14]"
Fatal Instinct,3.555139,,[3]
Farewell My Concubine,4.875827,,[6]
The Favor,1.344876,,"[6, 3, 14]"
Fearless,9.284624,,[6]
Fear of a Black Hat,0.985441,,[3]
With Honors,2.969003,,"[3, 6]"
Flesh and Bone,1.896869,,"[6, 13, 14]"
Widows' Peak,0.409427,,"[3, 17, 13, 14, 9]"
For Love or Money,8.468869,,"[3, 14]"
The Firm,9.678367,,"[6, 13, 17]"
Free Willy,5.990572,Free Willy Collection,"[7, 1]"
Fresh,3.970215,,"[4, 6, 17]"
The Fugitive,10.08937,The Fugitive / U.S. Marshals Collection,"[1, 0, 17, 4, 13]"
Geronimo: An American Legend,4.653462,,"[10, 0, 6, 19]"
The Getaway,14.214403,,"[6, 0, 17]"
Getting Even with Dad,2.410545,,"[7, 3, 4]"
Go Fish,0.775898,,"[6, 14]"
A Good Man in Africa,5.22583,,"[3, 6]"
Guilty as Sin,5.385108,,"[6, 17]"
Hard Target,7.834351,Hard Target Collection,"[0, 1, 4, 17]"
Heaven & Earth,4.190541,,"[10, 18, 0, 6]"
Hot Shots! Part Deux,13.482371,Hot Shots! Collection,"[0, 3, 18]"
Live Nude Girls,2.138959,,[3]
The Englishman Who Went Up a Hill But Came Down a Mountain,5.331753,,"[6, 3, 14]"
The House of the Spirits,10.687795,,"[14, 6]"
House Party 3,0.996047,House Party Collection,[3]
The Hudsucker Proxy,7.550545,,"[3, 6]"
I'll Do Anything,1.742974,,"[3, 6]"
In the Army Now,6.071466,,[3]
In the Line of Fire,12.637158,,"[0, 6, 17, 4, 13]"
In the Name of the Father,7.405895,,[6]
The Inkwell,0.613335,,"[3, 6, 14]"
What's Love Got to Do with It,14.820883,,"[6, 12]"
Jimmy Hollywood,4.563989,,[3]
Judgment Night,5.538671,,"[0, 17, 4]"
Jurassic Park,8.863776,Jurassic Park Collection,"[1, 15]"
Kalifornia,8.4337,,"[17, 4]"
Killing Zoe,4.948569,,"[0, 4, 6, 17]"
King of the Hill,4.375347,,[6]
Lassie,3.645342,,"[0, 1, 6, 7]"
Last Action Hero,9.434006,,"[1, 8, 0, 3, 7]"
Life With Mikey,6.446229,,"[3, 7]"
Lightning Jack,2.913584,,"[0, 3, 19]"
M. Butterfly,6.516976,,"[6, 14]"
Made in America,5.43085,,[3]
Malice,9.861672,,"[6, 4]"
The Man without a Face,5.997712,,[6]
Manhattan Murder Mystery,8.939404,,"[3, 13]"
Menace II Society,5.260924,,"[6, 0, 4]"
Executive Decision,13.106291,,"[0, 1, 6, 17]"
In the Realm of the Senses,8.932494,,"[6, 14]"
What Happened Was...,0.534606,,"[17, 3, 6, 14]"
Much Ado About Nothing,8.62724,,"[6, 3, 14]"
Mr. Jones,6.579753,,"[6, 14]"
Mr. Wonderful,13.011091,,"[3, 14]"
Mrs. Doubtfire,11.16553,,"[3, 6, 7]"
Naked,8.665198,,"[3, 6]"
The Next Karate Kid,9.9697,The Karate Kid Collection,[1]
The New Age,0.596207,,"[3, 6]"
No Escape,9.715187,,"[0, 6, 15, 17]"
North,15.534707,,"[3, 6, 7, 8, 15]"
Orlando,3.800785,,"[14, 6, 8]"
A Perfect World,8.040589,,"[4, 6, 17]"
Philadelphia,13.373006,,[6]
The Piano,7.436758,,"[6, 14]"
Poetic Justice,6.972599,,"[6, 14]"
The Program,3.199976,,[6]
The Puppet Masters,7.272296,,"[11, 15, 17]"
Radioland Murders,8.506727,,"[3, 4, 6, 12, 13, 14]"
The Ref,5.868677,,[3]
The Remains of the Day,12.222576,,"[6, 14]"
Renaissance Man,4.985157,,"[3, 18]"
Rising Sun,6.279082,,"[0, 6, 17]"
The Road to Wellville,3.416181,,"[3, 14]"
RoboCop 3,8.685798,RoboCop Collection,"[0, 1, 4, 15, 17]"
Robin Hood: Men in Tights,17.136672,,[3]
Romeo Is Bleeding,9.796318,,"[0, 4, 6, 17]"
Romper Stomper,5.157926,,"[0, 6, 17]"
Ruby in Paradise,0.941994,,"[6, 14]"
Rudy,5.914833,,[6]
The Saint of Fort Washington,1.065843,,[6]
Savage Nights,1.031556,,[6]
Schindler's List,41.725123,,"[6, 10, 18]"
The Scout,5.715608,,"[3, 6]"
Searching for Bobby Fischer,12.048587,,[6]
Second Best,0.882596,,[6]
The Secret Garden,6.499523,The Secret Garden Collection,"[6, 7, 8]"
Serial Mom,5.305311,,"[3, 4, 11, 17]"
The Shadow,7.881107,The Shadow Collection,"[1, 8, 0, 17, 15]"
Shadowlands,2.96586,,"[6, 14]"
Short Cuts,8.829337,,"[3, 6]"
A Simple Twist of Fate,4.13516,,"[6, 7]"
Sirens,2.86213,,"[3, 6]"
Six Degrees of Separation,8.730025,,"[13, 6, 3]"
Sleepless in Seattle,10.234919,,"[3, 6, 14]"
Sliver,11.23297,,"[6, 17]"
Blade Runner,96.272374,Blade Runner Collection,"[15, 6, 17]"
Son in Law,9.122718,,"[3, 6, 14]"
So I Married an Axe Murderer,8.051914,,"[3, 4, 14]"
Striking Distance,13.390917,,"[4, 0, 13, 17]"
Harem,1.825468,,"[10, 6, 14]"
Super Mario Bros.,7.198455,,"[1, 3, 7, 8]"
